"#";"RefDes";"Value";"Quantity";"Name";"Unique Name";"U Price"
"1";"BOOT, RST";"";"2";"Button_3830_SMT";"";"0.03"
"2";"C1, C2, C4, C5, C7, C10, C11, C12, C13, C14, C17, C18, C20, C23, C24";"100n";"15";"CAP_0805";"CAP_0805";"0.08"
"3";"C3, C6, C8, C9";"10n";"4";"CAP_0805";"CAP_0805";"0.08"
"4";"C15";"0.1u";"1";"MKT-X2";"MKT_X2";"0.16"
"5";"C16";"100u";"1";"CAP_THT_2.0";"CAP_THT_2.0";"0.12"
"6";"C19, C21";"10u";"2";"CAPP_B_350X280";"CAPP_B";"0.10"
"7";"C25, C26";"12p";"2";"CAP_0805";"CAP_0805";"0.08"
"8";"D1";"Yellow";"1";"LED_0805_M_Yellow";"LED_0805_YELLOW";"0.01"
"9";"D2";"Blue";"1";"LED_0805_M_Blue";"LED_0805_BLUE";"0.01"
"10";"D3, D4, D5, D6, D7, D8, D9, D10";"Green";"8";"LED_0805_M_Green";"LED_0805_GREEN";"0.01"
"11";"D11, D12";"BAT54";"2";"BAT54";"";"0.02"
"12";"D13";"BAT54S";"1";"BAT54S";"";"0.02"
"13";"F1";"LVR012K";"1";"PolySwitch_L2";"";"0.74"
"14";"J1, J2, J3, J8, J9, J10, J11";"";"7";"TB_3.96_x3";"";"0.14"
"15";"J4, J5, J6, J12, J13, J14";"";"6";"TB_3.96_x2";"";"0.10"
"16";"J7";"";"1";"TB_3.96_x4";"";"0.19"
"17";"J15";"";"1";"TB_5.0_x2";"";"0.18"
"18";"J16";"";"1";"TB_5.0_x3";"";"0.25"
"19";"J17, J18, J19, J23";"";"4";"HDRV_254_THT_1x3";"HDRV_254_THT_1x3";""
"20";"J20, J22, J24";"";"3";"HDRV_254_THT_1x2";"HDRV_254_THT_1x2";""
"21";"J21";"";"1";"HDRV_254_THT_2x5_C";"TE_5-146253-5";""
"22";"J25";"SWPROG";"1";"IDCV_AAPROG_256";"TE_5-146253-5";"0.17"
"23";"J26";"";"1";"HDRV_254_THT_1x4";"HDRV_254_THT_1x4";""
"24";"J28";"";"1";"HDRV_254_THT_2x3_2";"HDRV_254_THT_1x3";""
"25";"L1";"2x10mH";"1";"CM_CHOKE";"";"0.98"
"26";"M2";"OLED-1.3_SPI";"1";"OLED-1.3_SPI";"";"2.82"
"27";"M3";"HLK-PM01";"1";"HLK-PMxx";"";"2.8"
"28";"M4";"WIZ850io";"1";"WIZ850io";"";"4"
"29";"M5";"SuperMini";"1";"ESP32-C3-SuperMini";"";"2.6"
"30";"Q1, Q2, Q3, Q4, Q6";"AO3400";"5";"AO3400_N";"AO3400";"0.05"
"31";"Q5";"AO3401";"1";"AO3401_P";"AO3401";"0.04"
"32";"R1";"10";"1";"RES_0805";"RES_0805";"0.02"
"33";"R2";"100k";"1";"RES_0805";"RES_0805";"0.02"
"34";"R3";"3.9k";"1";"RES_0805";"RES_0805";"0.02"
"35";"R4";"8.2k";"1";"RES_0805";"RES_0805";"0.02"
"36";"R5";"18k";"1";"RES_0805";"RES_0805";"0.02"
"37";"R6, R10, R14";"NC";"3";"RES_THT_10.16";"RES_THT_10.16";"0.1"
"38";"R7, R8, R11, R12, R15, R16, R17, R18, R20, R21, R45, R56, R60, R62";"10k";"14";"RES_0805";"RES_0805";"0.02"
"39";"R9, R13, R19, R26, R46, R49, R59, R61";"1k";"8";"RES_0805";"RES_0805";"0.02"
"40";"R22, R23, R28, R29, R30, R63";"680";"6";"RES_0805";"RES_0805";"0.02"
"41";"R24";"150";"1";"RES_0805";"RES_0805";"0.02"
"42";"R25";"510";"1";"RES_0805";"RES_0805";"0.02"
"43";"R27, R33, R38, R47, R50, R64";"47k";"6";"RES_0805";"RES_0805";"0.02"
"44";"R31, R42";"4.7k";"2";"RES_THT_10.16";"RES_THT_10.16";"0.1"
"45";"R32, R37, R44";"3.3k";"3";"RES_0805";"RES_0805";"0.02"
"46";"R34, R39";"33k";"2";"RES_0805";"RES_0805";"0.02"
"47";"R35, R40";"220k";"2";"RES_0805";"RES_0805";"0.02"
"48";"R36, R41, R57, R58";"4.7k";"4";"RES_0805";"RES_0805";"0.02"
"49";"R43";"2.2k";"1";"RES_0805";"RES_0805";"0.02"
"50";"R48, R51";"1.5k";"2";"RES_0805";"RES_0805";"0.02"
"51";"R52, R53, R54";"22k";"3";"RES_2010";"RES_2010";"0.04"
"52";"R55";"200";"1";"RES_0805";"RES_0805";"0.02"
"53";"R65, R66";"100";"2";"RES_THT_10.16";"RES_THT_10.16";"0.1"
"54";"R67";"1.5k";"1";"RES_THT_10.16";"RES_THT_10.16";"0.1"
"55";"RLY1";"G6DN";"1";"RLY_G6DN";"";"2.4"
"56";"S1, S2";"";"2";"Button_1_THT";"";"0.03"
"57";"SJ1, SJ2";"";"2";"Solder_JMP_3";"";""
"58";"T1";"";"1";"DL-PT202D";"";"1.82"
"59";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9";"";"9";"TestPoint_S_THT";"";""
"60";"U1";"STM32G071CB";"1";"STM32G071CB_RAW";"";"8"
"61";"U2";"W25Q64";"1";"W25Q64";"";"0.32"
"62";"U3, U4";"TSZ122";"2";"TSZ122";"TSZ122";"2.6"
"63";"U5, U6";"74LVC1G17";"2";"74LVC1G17DBV";"";"0.16"
"64";"U7";"LM393";"1";"LM393_DIP";"LM393_DIP_PART";"0.02"
"65";"U8";"SFH620A";"1";"SFH620A";"SFH620A";"0.23"
"66";"U10";"LT1117-3.3";"1";"LT1117";"";"0.25"
"67";"Y1";"8MHz";"1";"CRY_3225";"CRY_3225";"0.15"
